"gene","coef"
"CD40LG",-0.390937773328648
"HGF",0.233157644373996
"NAAA",0.165147241788708
"S1PR4",-0.262297313966537
"STAT4",-0.275436334781707
"STAT5A",0.187319595988362
"TAP1",-0.194910351688873
"TRPM2",0.19067689730979
"VSIG4",0.195426756755665
