Tag	dynamicColors	mergedColors
APOBEC3F	brown	brown
APOBEC3G	brown	brown
APOBEC3H	violet	brown
APOBR	brown	brown
APOC1	brown	brown
APOC2	brown	brown
APOD	blue	blue
APOE	brown	brown
APOL1	brown	brown
APOL2	brown	brown
APOL3	brown	brown
APOL4	grey	grey
APOL6	brown	brown
APOLD1	turquoise	darkgreen
APOM	grey	grey
APOO	grey	grey
APOOL	salmon	darkgreen
APP	turquoise	darkgreen
APPBP2	bisque4	bisque4
APPL1	purple	darkgreen
APPL2	black	darkgreen
APRT	darkorange	darkorange
APTX	darkslateblue	darkslateblue
AQP1	blue	blue
AQP11	grey	grey
AQP3	grey	grey
AQP5	grey	grey
AQP6	grey	grey
AQP9	grey	grey
AQR	ivory	darkgreen
AR	grey	grey
ARAF	turquoise	darkgreen
ARAP1	darkolivegreen	darkgreen
ARAP2	royalblue	darkgreen
ARAP3	turquoise	darkgreen
ARC	blue	blue
ARCN1	yellowgreen	darkgreen
AREG	grey	grey
AREL1	greenyellow	darkgreen
ARF1	lightcyan	darkgreen
ARF3	black	darkgreen
ARF4	purple	darkgreen
ARF5	turquoise	darkgreen
ARF6	greenyellow	darkgreen
ARFGAP1	orange	darkgreen
ARFGAP2	turquoise	darkgreen
ARFGAP3	grey60	darkgreen
ARFGEF1	turquoise	darkgreen
ARFGEF2	orange	darkgreen
ARFGEF3	grey	grey
ARFIP1	darkgreen	darkgreen
ARFIP2	darkorange2	darkgreen
ARFRP1	orange	darkgreen
ARG2	grey	grey
ARGLU1	skyblue	darkgreen
ARHGAP1	turquoise	darkgreen
ARHGAP10	grey	grey
ARHGAP11A	yellow	yellow
ARHGAP12	turquoise	darkgreen
ARHGAP15	brown	brown
ARHGAP17	skyblue3	darkgreen
ARHGAP18	brown	brown
ARHGAP19	floralwhite	darkgreen
ARHGAP20	brown	brown
ARHGAP21	turquoise	darkgreen
ARHGAP22	brown	brown
ARHGAP23	turquoise	darkgreen
ARHGAP24	blue	blue
ARHGAP25	brown	brown
ARHGAP26	darkmagenta	darkmagenta
ARHGAP27	darkturquoise	darkgreen
ARHGAP28	blue	blue
ARHGAP29	grey	grey
ARHGAP30	brown	brown
ARHGAP31	brown	brown
ARHGAP32	yellowgreen	darkgreen
ARHGAP33	darkgrey	darkgrey
ARHGAP35	paleturquoise	paleturquoise
ARHGAP39	lavenderblush3	lavenderblush3
ARHGAP4	grey	grey
ARHGAP40	grey	grey
ARHGAP42	yellowgreen	darkgreen
ARHGAP44	turquoise	darkgreen
ARHGAP5	greenyellow	darkgreen
ARHGAP6	blue	blue
ARHGAP8	red	red
ARHGAP9	brown	brown
ARHGDIA	mediumpurple3	bisque4
ARHGDIB	brown	brown
ARHGDIG	grey	grey
ARHGEF1	paleturquoise	paleturquoise
ARHGEF10	palevioletred3	palevioletred3
ARHGEF10L	turquoise	darkgreen
ARHGEF11	turquoise	darkgreen
ARHGEF12	yellowgreen	darkgreen
ARHGEF15	blue	blue
ARHGEF16	pink	darkgreen
ARHGEF17	darkolivegreen	darkgreen
ARHGEF18	orangered4	orangered4
ARHGEF19	pink	darkgreen
ARHGEF2	turquoise	darkgreen
ARHGEF25	grey	grey
ARHGEF26	yellow	yellow
ARHGEF28	saddlebrown	darkgreen
ARHGEF3	purple	darkgreen
ARHGEF35	grey	grey
ARHGEF37	turquoise	darkgreen
ARHGEF39	yellow	yellow
ARHGEF4	turquoise	darkgreen
ARHGEF40	turquoise	darkgreen
ARHGEF5	darkseagreen4	darkgreen
ARHGEF6	brown	brown
ARHGEF7	skyblue	darkgreen
ARHGEF9	salmon	darkgreen
ARID1A	pink	darkgreen
ARID1B	lightcyan1	darkgreen
ARID2	black	darkgreen
ARID3A	grey	grey
ARID3B	turquoise	darkgreen
ARID3C	grey	grey
ARID4A	greenyellow	darkgreen
ARID4B	lightcyan	darkgreen
