"","TRP","WGCNA","Corr","P.value"
"5749","TRPM2","CTSA",0.52138036931333,0
"5836","TRPV2","CTSD",0.524054625958843,0
"5898","TRPV2","CTSL",0.594515094404386,0
"5929","TRPV2","CTSO",0.521360894971344,0
"5947","PKD2","CTSO",0.559431820494666,0
"5960","TRPV2","CTSS",0.684044463626786,0
"5966","TRPM2","CTSS",0.506539536822462,0
"5991","TRPV2","CTSW",0.546168698014754,0
"6022","TRPV2","CTSZ",0.63808406273974,0
"6208","TRPV2","CXCL9",0.598958638254318,0
"6239","TRPV2","CXCR3",0.661633326716435,0
"6270","TRPV2","CXCR6",0.673195202956041,0
"6301","TRPV2","CXorf21",0.778367880016242,0
"6307","TRPM2","CXorf21",0.534235648998644,0
"6332","TRPV2","CYB5R4",0.544306017880168,0
"6363","TRPV2","CYBB",0.841244762377784,0
"6369","TRPM2","CYBB",0.586066215657864,0
"6425","TRPV2","CYTH4",0.868282781360798,0
"6431","TRPM2","CYTH4",0.622340605145069,0
"6456","TRPV2","CYTIP",0.763712736923355,0
"6549","TRPV2","DENND3",0.561799336087271,0
"6566","PKD1","DENND3",0.516096807841629,0
"6611","TRPV2","DOCK10",0.842570308781806,0
"6617","TRPM2","DOCK10",0.538622890672209,0
"6629","PKD2","DOCK10",0.520589868544153,0
"6642","TRPV2","DOCK2",0.853593375893053,0
"6648","TRPM2","DOCK2",0.605848344967619,0
"6704","TRPV2","DOK2",0.822227906847453,0
"6710","TRPM2","DOK2",0.534638503126588,0
"6735","TRPV2","DOK3",0.772576724809834,0
"6741","TRPM2","DOK3",0.577057829875223,0
"6766","TRPV2","DPEP2",0.635601136645216,0
"6797","TRPV2","DPYD",0.651780782795498,0
"6828","TRPV2","DRAM1",0.745413789593433,0
"6921","TRPV2","EBI3",0.666526139425917,0
"6983","TRPV2","EHBP1L1",0.501932646630672,0
"7000","PKD1","EHBP1L1",0.562234745937064,0
"7014","TRPV2","ELL2",0.655490996619175,0
"7124","PKD1","EML3",0.52491715289031,0
"7138","TRPV2","EMP3",0.626500990982752,0
"7200","TRPV2","ENTPD1",0.628554304263412,0
"7218","PKD2","ENTPD1",0.615524232165288,0
"7231","TRPV2","EPAS1",0.571391206727055,0
"7262","TRPV2","EPB41L3",0.759205277679059,0
"7280","PKD2","EPB41L3",0.504724080585194,0
"7293","TRPV2","ETS1",0.675560712951028,0
"7311","PKD2","ETS1",0.608522400466903,0
"7355","TRPV2","EVI2A",0.660848768639047,0
"7386","TRPV2","EVI2B",0.785815819147912,0
"7417","TRPV2","F13A1",0.679469568600906,0
"7435","PKD2","F13A1",0.505432389632353,0
"7510","TRPV2","FASLG",0.625590823415757,0
"7572","TRPV2","FCAR",0.653897269084689,0
"7634","TRPV2","FCER1G",0.652143912030318,0
"7696","TRPV2","FCGR1B",0.67348273620571,0
"7702","TRPM2","FCGR1B",0.515622564306237,0
"7727","TRPV2","FCGR2A",0.789415584374131,0
"7733","TRPM2","FCGR2A",0.528532803254577,0
"7758","TRPV2","FCGR2B",0.719015049626865,0
"7789","TRPV2","FCGR3B",0.505027217677334,0
"7820","TRPV2","FCN1",0.636606128292471,0
"7851","TRPV2","FGD2",0.586775733606535,0
"7857","TRPM2","FGD2",0.5324259772013,0
"7913","TRPV2","FGL2",0.774875412576321,0
"7919","TRPM2","FGL2",0.507035738421894,0
"7944","TRPV2","FGR",0.793704316293317,0
"7950","TRPM2","FGR",0.512391233648987,0
"8006","TRPV2","FLI1",0.843606853805961,0
"8024","PKD2","FLI1",0.546442607665276,0
"8068","TRPV2","FLVCR2",0.618347792381461,0
"8099","TRPV2","FMNL1",0.689307106297926,0
"8161","TRPV2","FOLR2",0.700512344843717,0
"8192","TRPV2","FOXP3",0.618055429409798,0
"8223","TRPV2","FPR1",0.755162430735278,0
"8254","TRPV2","FPR3",0.831082893348901,0
"8260","TRPM2","FPR3",0.510814538081997,0
"8409","TRPV2","GAL3ST4",0.733836068298845,0
"8415","TRPM2","GAL3ST4",0.536987211929632,0
"8502","TRPV2","GBP2",0.603271948520252,0
"8564","TRPV2","GFI1",0.645024485194112,0
"8626","TRPV2","GIMAP4",0.767011859916784,0
"8645","PKD2L1","GIMAP4",0.500736349410334,0
"8657","TRPV2","GIMAP6",0.871802347672968,0
"8663","TRPM2","GIMAP6",0.537234282769619,0
"8676","PKD2L1","GIMAP6",0.504660770146965,0
"8688","TRPV2","GK",0.521129125902179,0
"8719","TRPV2","GLIPR1",0.783104436711604,0
"8737","PKD2","GLIPR1",0.587056201167723,0
"8750","TRPV2","GLRX",0.701588221939614,0
"8812","TRPV2","GM2A",0.566405752565901,0
"8843","TRPV2","GMFG",0.661569190470776,0
"8874","TRPV2","GNA15",0.783419312584414,0
"8880","TRPM2","GNA15",0.58141766515626,0
"8967","TRPV2","GPNMB",0.669204964360124,0
"8998","TRPV2","GPR132",0.500784257100564,0
